Año,Mes, Siniestro ocurrido 
2019,2," 339,922.58 "
2020,3," 5,963,882.65 "
2019,2," 93,302.65 "
2018,6," 789,020.41 "
2018,10," 736,118.38 "
2018,11," 91,848.44 "
2018,7," 379,815.42 "
2017,5," 117,399.23 "
2019,6," 185,195.17 "
2019,4," 352,238.11 "
2018,4," 169,827.16 "
2016,8," 272,692.86 "
2019,5," 186,559.44 "
2016,7," 432,850.05 "
2019,1," 243,938.05 "
2018,5," 300,032.99 "
2019,2," 157,035.70 "
2017,6," 129,485.69 "
2019,5," 1,274,201.90 "
2019,8," 148,572.81 "
2018,12," 59,942.55 "
2016,2," 2,260,153.83 "
2018,5," 1,490,534.81 "
2018,11," 86,866.93 "
2019,1," 784,057.79 "
2016,12," 343,791.78 "
2019,4," 623,293.04 "
2019,9," 880,389.26 "
2018,4," 182,312.88 "
2017,11," 138,938.59 "
2018,12," 338,297.68 "
2017,10," 630,336.01 "
2017,12," 1,658,179.51 "
2019,7," 555,020.75 "
2018,10," 472,014.55 "
2018,9," 539,468.52 "
2019,7," 661,641.42 "
2019,10," 192,257.97 "
2018,6," 427,109.93 "
2019,6," 355,505.61 "
2016,9," 409,669.23 "
2020,8," 89,351.73 "
2018,2," 315,280.91 "
2018,12," 149,685.01 "
2016,11," 628,190.66 "
2019,4," 399,079.16 "
2016,11," 82,705.10 "
2019,4," 293,815.67 "
2020,4," 89,186.20 "
2018,12," 216,418.58 "
2017,8," 829,944.37 "
2016,12," 489,884.68 "
2019,3," 288,110.43 "
2019,2," 328,644.99 "
2019,1," 359,157.17 "
2018,7," 72,001.41 "
2019,10," 141,231.70 "
2020,7," 173,120.36 "
2017,8," 691,947.46 "
2017,12," 31,028.77 "
2019,1," 377,929.33 "
2020,7," 241,552.54 "
2018,12," 226,557.86 "
2019,1," 195,504.26 "
2018,4," 170,747.47 "
2017,10," 670,412.02 "
2018,4," 612,810.20 "
2018,1," 1,116,884.95 "
2018,10," 1,684,433.63 "
2019,11," 147,516.42 "
2019,2," 89,285.62 "
2020,8," 275,815.29 "
2017,12," 104,097.71 "
2020,1," 634,453.88 "
2019,4," 70,436.61 "
2018,9," 304,994.60 "
2018,8," 108,561.93 "
2017,9," 953,024.29 "
2019,2," 321,925.64 "
2018,6," 965,228.17 "
2018,12," 292,935.97 "
2018,10," 1,571,181.09 "
2018,7," 91,269.21 "
2018,7," 511,876.64 "
2017,12," 137,996.65 "
2016,9," 97,512.79 "
2017,8," 137,770.49 "
2016,9," 593,273.57 "
2018,4," 196,667.77 "
2017,5," 127,527.89 "
2017,4," 713,481.11 "
2019,9," 80,468.43 "
2019,2," 169,075.43 "
2019,11," 213,896.01 "
2016,10," 172,938.12 "
2019,4," 130,596.49 "
2019,12," 87,135.17 "
2018,10," 37,958.34 "
2018,12," 157,362.11 "
2018,10," 1,219,500.32 "
2018,11," 1,585,387.04 "
2019,10," 219,329.35 "
2019,3," 639,486.48 "
2018,10," 811,577.05 "
2017,1," 109,405.74 "
2018,6," 1,006,277.31 "
2019,5," 338,302.32 "
2017,10," 1,983,992.83 "
2019,2," 162,289.04 "
2019,11," 340,949.17 "
2019,9," 1,352,554.15 "
2020,1," 383,536.90 "
2019,11," 193,945.91 "
2016,9," 749,826.64 "
2017,10," 1,078,022.65 "
2019,7," 593,432.60 "
2018,10," 214,581.96 "
2018,3," 195,418.52 "
2018,7," 496,916.67 "
2016,4," 80,042.55 "
